Isotope, B, V
Cesium133, 0.5298, 546.7
Cesium133, 0.5209, 527.4
Cesium133, 0.5405, 569.4
Rubidium85, 0.4239, 549.2
Rubidium85, 0.4130, 521.3
Rubidium85, 0.4161, 529.5
Rubidium87, 0.4239, 536.15
Rubidium87, 0.4321, 557.2
Rubidium87, 0.4283, 548.8
Rubidium87, 0.4384, 573.3
Potassium39, 0.2874, 549.4
Potassium39, 0.2970, 587.2
Potassium39, 0.2913, 565.5
Potassium41, 0.2873, 520.6
Potassium41, 0.2962, 556.2
Potassium41, 0.2913, 531.0
Sodium23, 0.2196, 542.9
Sodium23, 0.2217, 553.8
Sodium23, 0.2160, 525.4
Chlorine35, 0.2718, 562.9
Chlorine35, 0.2807, 595.8
Chlorine35, 0.2625, 520.3
Chlorine37, 0.2718, 531.0
Chlorine37, 0.2807, 565.2
Chlorine37, 0.2648, 501.5
